geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037121210,6037121210,2022,2922,11,.37645447,304,10.403833,71,2.4298425,2133,72.997948,12,.41067761,60,2.0533881,47,1.6084874,284,9.7193699
1400000US06037121221,6037121221,2022,2237,0,0,161,7.1971393,44,1.96692,1656,74.027718,0,0,0,0,3,.13410819,373,16.674118
1400000US06037121222,6037121222,2022,4872,0,0,84,1.7241379,206,4.2282429,4001,82.12233,0,0,24,.49261084,45,.92364532,512,10.509031
1400000US06037121600,6037121600,2022,2635,0,0,819,31.081594,7,.26565465,472,17.912714,0,0,0,0,70,2.6565466,1267,48.083492
1400000US06037121801,6037121801,2022,3916,7,.17875382,199,5.0817161,10,.2553626,3051,77.911133,0,0,84,2.145046,23,.58733404,542,13.840653
1400000US06037121802,6037121802,2022,3026,0,0,260,8.5922012,194,6.4111037,2149,71.017845,0,0,0,0,11,.36351618,412,13.615334
1400000US06037121900,6037121900,2022,3314,0,0,123,3.7115269,75,2.2631261,2595,78.304161,0,0,0,0,0,0,521,15.721183
1400000US06037122000,6037122000,2022,5034,0,0,370,7.3500199,10,.19864918,2146,42.630116,0,0,46,.91378623,19,.37743345,2443,48.529995
1400000US06037122120,6037122120,2022,4692,5,.10656437,87,1.8542199,138,2.9411764,3693,78.708443,0,0,0,0,176,3.7510657,593,12.638534
1400000US06037122121,6037122121,2022,2853,5,.17525412,31,1.0865755,157,5.5029793,2349,82.334381,0,0,0,0,27,.94637221,284,9.9544344
1400000US06037122122,6037122122,2022,2507,0,0,62,2.4730754,127,5.0658159,2190,87.355408,0,0,0,0,13,.51854807,115,4.5871558
